"Otu00001" "Otu00002" "Otu00003" "Otu00004" "Otu00005" "Otu00006" "Otu00007" "Otu00008" "Otu00009" "Otu00010" "Otu00011" "Otu00012" "Otu00013" "Otu00014" "Otu00015" "Otu00016" "Otu00017" "Otu00018" "Otu00019" "Otu00020" "Otu00021" "Otu00022" "Otu00023" "Otu00024" "Otu00025" "Otu00026" "Otu00027" "Otu00028" "Otu00029" "Otu00030" "Otu00031" "Otu00032" "Otu00033" "Otu00034" "Otu00035" "Otu00036" "Otu00037" "Otu00038" "Otu00039" "Otu00040" "Otu00041" "Otu00042" "Otu00043" "Otu00044" "Otu00045" "Otu00046" "Otu00047" "Otu00048" "Otu00049" "Otu00050" "Otu00051" "Otu00052" "Otu00053" "Otu00054" "Otu00056" "Otu00057" "Otu00058" "Otu00059" "Otu00060" "Otu00061" "Otu00062" "Otu00063" "Otu00064" "Otu00065" "Otu00066" "Otu00067" "Otu00068" "Otu00069" "Otu00070" "Otu00071" "Otu00072" "Otu00073" "Otu00074" "Otu00075" "Otu00076" "Otu00077" "Otu00078" "Otu00079" "Otu00080" "Otu00081" "Otu00082" "Otu00083" "Otu00084" "Otu00085" "Otu00086" "Otu00087" "Otu00088" "Otu00089" "Otu00090" "Otu00091" "Otu00092" "Otu00093" "Otu00094" "Otu00095" "Otu00096" "Otu00097" "Otu00098" "Otu00099" "Otu00100" "Otu00102" "Otu00103" "Otu00104" "Otu00105" "Otu00106" "Otu00108" "Otu00109" "Otu00110" "Otu00111" "Otu00112" "Otu00113" "Otu00115" "Otu00117" "Otu00118" "Otu00119" "Otu00120" "Otu00121" "Otu00122" "Otu00123" "Otu00124" "Otu00125" "Otu00126" "Otu00127" "Otu00128" "Otu00129" "Otu00130" "Otu00132" "Otu00133" "Otu00136" "Otu00137" "Otu00138" "Otu00139" "Otu00140" "Otu00141" "Otu00142" "Otu00143" "Otu00144" "Otu00145" "Otu00146" "Otu00147" "Otu00148" "Otu00149" "Otu00150" "Otu00151" "Otu00153" "Otu00154" "Otu00155" "Otu00156" "Otu00157" "Otu00160" "Otu00162" "Otu00163" "Otu00164" "Otu00165" "Otu00166" "Otu00167" "Otu00168" "Otu00169" "Otu00171" "Otu00172" "Otu00173" "Otu00174" "Otu00175" "Otu00176" "Otu00177" "Otu00178" "Otu00179" "Otu00180" "Otu00181" "Otu00182" "Otu00183" "Otu00184" "Otu00186" "Otu00187" "Otu00188" "Otu00189" "Otu00190" "Otu00191" "Otu00193" "Otu00196" "Otu00197" "Otu00198" "Otu00199" "Otu00200" "Otu00201" "Otu00202" "Otu00205" "Otu00206" "Otu00207" "Otu00208" "Otu00209" "Otu00210" "Otu00211" "Otu00212" "Otu00214" "Otu00215" "Otu00216" "Otu00217" "Otu00218" "Otu00219" "Otu00220" "Otu00221" "Otu00222" "Otu00223" "Otu00224" "Otu00225" "Otu00226" "Otu00228" "Otu00230" "Otu00231" "Otu00232" "Otu00233" "Otu00234" "Otu00235" "Otu00236" "Otu00237" "Otu00238" "Otu00240" "Otu00241" "Otu00242" "Otu00243" "Otu00244" "Otu00246" "Otu00247" "Otu00248" "Otu00249" "Otu00251" "Otu00252" "Otu00253" "Otu00254" "Otu00255" "Otu00256" "Otu00257" "Otu00258" "Otu00259" "Otu00262" "Otu00263" "Otu00264" "Otu00265" "Otu00266" "Otu00268" "Otu00269" "Otu00270" "Otu00271" "Otu00272" "Otu00273" "Otu00275" "Otu00276" "Otu00278" "Otu00279" "Otu00280" "Otu00281" "Otu00282" "Otu00283" "Otu00284" "Otu00285" "Otu00286" "Otu00287" "Otu00288" "Otu00289" "Otu00290" "Otu00291" "Otu00292" "Otu00294" "Otu00295" "Otu00297" "Otu00298" "Otu00300" "Otu00302" "Otu00304" "Otu00306" "Otu00307" "Otu00308" "Otu00309" "Otu00311" "Otu00312" "Otu00313" "Otu00315" "Otu00318" "Otu00319" "Otu00323" "Otu00324" "Otu00325" "Otu00328" "Otu00329" "Otu00330" "Otu00331" "Otu00332" "Otu00333" "Otu00334" "Otu00335" "Otu00336" "Otu00337" "Otu00338" "Otu00341" "Otu00344" "Otu00345" "Otu00346" "Otu00348" "Otu00349" "Otu00350" "Otu00352" "Otu00353" "Otu00354" "Otu00360" "Otu00361" "Otu00362" "Otu00364" "Otu00367" "Otu00368" "Otu00369" "Otu00372" "Otu00373" "Otu00374" "Otu00382" "Otu00383" "Otu00384" "Otu00385" "Otu00387" "Otu00388" "Otu00396" "Otu00404" "Otu00406" "Otu00407" "Otu00412" "Otu00416" "Otu00420" "Otu00422" "Otu00424" "Otu00425" "Otu00427" "Otu00430" "Otu00431" "Otu00436" "Otu00438" "Otu00439" "Otu00440" "Otu00441" "Otu00446" "Otu00447" "Otu00453" "Otu00462" "Otu00463" "Otu00465" "Otu00469" "Otu00479" "Otu00481" "Otu00485" "Otu00491" "Otu00496" "Otu00498" "Otu00499" "Otu00502" "Otu00505" "Otu00510" "Otu00511" "Otu00516" "Otu00517" "Otu00522" "Otu00528" "Otu00529" "Otu00531" "Otu00535" "Otu00540" "Otu00543" "Otu00550" "Otu00566" "Otu00567" "Otu00570" "Otu00597" "Otu00598" "Otu00599" "Otu00600" "Otu00602" "Otu00603" "Otu00622" "Otu00626" "Otu00635" "Otu00639" "Otu00679" "Otu00684" "Otu00703" "Otu00710" "Otu00779" "Otu00812" "Otu00830" "Otu00836" "Otu00908" "Otu00914" "Otu01016" "Otu01115" "Otu01167" "Otu01384" "Otu01429"
"MI_001_H" 238 547 33 20 276 355 476 240 2 456 178 332 33 119 0 0 311 958 0 353 164 33 1 495 37 1 5 2140 77 13 0 0 21 0 13 2 118 0 0 17 711 0 50 221 38 42 103 131 29 26 215 43 0 17 29 4 8 93 11 1 16 985 6 0 206 3 37 3 0 5 0 200 0 49 22 23 1 0 15 0 53 54 11 198 0 6 4 3 220 0 10 14 0 98 0 114 0 0 0 3 6 0 0 0 5 67 16 7 16 7 0 0 0 20 4 11 97 0 0 0 11 0 0 124 7 19 0 190 0 0 5 0 0 70 0 0 1 1 13 58 0 76 23 19 0 0 11 2 0 1 39 14 0 5 2 0 0 0 0 5 3 42 0 6 8 5 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 6 25 10 5 0 8 10 5 0 38 0 0 67 0 0 0 2 67 3 0 0 0 1 0 0 0 0 0 0 8 0 0 12 3 11 0 0 0 0 24 0 0 0 0 0 11 0 0 0 0 0 0 0 30 1 2 0 211 0 8 0 3 139 4 19 0 5 12 2 0 0 0 1 0 0 0 0 169 1 0 0 0 0 1 0 16 0 0 0 0 0 0 0 0 0 0 21 0 0 0 4 9 38 0 0 174 0 0 0 0 0 3 0 5 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 3 0 0 2 0 8 0 0 0 85 0 0 0 14 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 81 0 0 0 0 1 0 0 13 0 0 0 0 0 1 0 0 27 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 46 0 0 0 0 0 0 0 0 0 0 0
"MI_002_H" 67 3 44 1147 18 3893 217 730 36 32 1406 748 44 48 0 112 81 0 36 20 4 4 0 19 48 8 14 171 92 54 207 0 9 185 1 6 3 0 0 3 9 0 12 1 4 18 276 0 3 6 1 0 84 0 13 3 20 22 25 0 0 24 7 0 4 0 17 0 0 0 0 1 1 201 8 34 7 0 8 0 2 12 5 21 0 0 0 0 0 0 0 154 0 2 0 2 162 1 0 0 498 295 359 0 15 3 4 27 0 0 63 0 1 63 122 36 0 0 0 0 16 0 84 72 0 0 13 0 0 0 1 17 6 102 0 0 2 0 34 14 6 3 12 16 0 0 0 0 11 6 1 0 0 3 0 0 63 0 0 0 0 3 0 1 0 1 4 0 12 0 0 0 0 0 0 20 0 2 0 1 0 4 0 0 1 0 0 7 16 3 3 9 0 3 9 0 0 2 3 1 0 0 0 3 0 0 0 0 1 15 0 17 0 1 0 9 18 0 0 1 0 0 5 2 0 42 0 0 3 0 0 0 1 12 7 0 1 0 0 0 0 0 15 58 0 0 53 0 28 0 19 0 0 1 1 44 9 0 1 3 0 0 8 0 0 0 0 20 0 7 0 0 0 0 0 1 0 9 0 0 0 32 20 0 0 0 15 0 0 0 10 2 1 0 2 0 0 0 0 0 0 0 8 0 0 0 0 25 103 0 7 0 0 9 0 0 11 0 0 0 0 0 0 0 0 0 680 0 0 0 4 0 0 0 0 7 127 31 0 0 0 0 1 0 0 0 6 7 0 0 4 0 0 6 2 0 0 1 0 0 0 31 38 0 41 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 21
"MI_003_H" 12 86 3141 35 520 0 3024 951 713 135 0 0 137 19 0 59 856 482 1 1189 0 319 0 44 0 0 0 0 1438 17 0 0 0 166 211 0 137 0 0 13 0 0 0 21 3 15 213 21 0 1 0 75 4 0 0 6 50 44 0 0 0 0 0 0 61 0 0 0 0 0 0 33 27 144 13 0 0 0 0 0 0 46 0 106 0 0 0 0 0 0 0 0 0 0 0 3 0 13 0 0 0 0 0 0 0 0 0 0 0 1 2 0 23 0 0 1 0 0 0 1 76 0 0 0 3 0 62 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 14 0 1 0 0 0 0 0 0 3 0 0 0 5 5 0 0 75 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 3 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 9 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MI_006_H" 0 0 1035 9 251 365 1188 385 6 509 1089 277 1009 151 78 123 458 236 44 19 32 13 32 21 17 0 37 0 222 190 101 14 2 469 86 12 57 0 0 0 34 0 17 13 5 134 87 11 3 7 361 24 0 0 0 1 10 37 3 39 0 148 9 80 28 11 0 0 0 1 102 1 0 7 13 19 101 0 1 14 10 131 19 57 5 232 1662 0 192 0 3 93 4 3 0 18 118 0 0 1 7 197 0 0 11 2 6 4 0 0 0 0 0 0 0 2 0 0 0 0 60 4 61 0 0 0 3 0 20 0 0 2 3 0 9 11 2 1 7 3 17 0 4 40 0 0 1 4 0 1 6 3 1 3 0 5 16 0 6 0 3 0 32 0 0 0 0 0 5 0 0 22 3 10 87 20 0 2 0 0 0 9 10 0 1 4 0 3 0 0 1 2 0 0 0 61 102 0 4 0 0 0 0 0 0 0 2 0 0 1 3 2 3 1 1 2 0 0 3 0 3 9 0 4 0 0 0 232 0 0 1 0 0 0 1 8 3 0 0 0 0 0 0 20 0 0 0 0 4 1 0 15 1 1 193 23 0 4 4 1 0 26 0 0 1 0 0 0 0 0 0 15 0 0 0 0 0 1 0 0 0 8 4 9 0 0 0 0 0 0 2 0 0 112 0 0 0 0 1 0 2 0 3 0 0 0 0 0 27 0 0 2 11 0 0 16 1 17 0 0 0 0 0 0 0 6 144 1 0 0 0 0 0 0 0 5 0 1 0 1 0 0 163 0 68 0 1 0 24 0 4 14 8 0 0 15 0 0 20 0 0 42 9 0 9 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 18 1 8 11 0 0 0 0 0 0
"MI_007_H" 0 299 968 12 1222 0 677 1112 13 63 0 172 2 726 136 67 314 33 215 40 17 5 36 332 203 1 187 0 30 53 55 0 4 529 127 1 162 2551 47 23 18 0 50 30 0 14 84 31 2 188 0 0 0 0 3 30 5 43 0 0 0 1944 19 0 55 0 0 2 0 3 0 33 2 22 37 19 71 0 30 0 52 20 84 23 0 0 0 6 194 0 30 0 0 0 0 29 0 2 0 4 0 0 0 0 0 21 0 5 2 1 0 0 0 0 0 110 0 0 0 0 188 0 0 0 0 0 0 0 0 0 4 0 1 0 0 2 1 0 11 4 0 4 19 3 0 1 11 0 2 11 22 0 6 22 0 0 0 0 9 0 7 4 10 0 77 2 0 0 3 0 0 0 0 2 0 3 8 0 0 1 0 1 6 58 3 0 2 5 0 0 0 3 3 0 0 0 183 0 0 3 0 0 0 0 1 0 9 0 0 0 1 0 1 15 3 0 0 0 5 0 0 146 0 2 0 0 0 0 1 0 0 0 1 0 2 2 0 0 0 0 2 0 0 0 16 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 72 0 0 0 0 0 0 0 0 0 1 0 0 0 0 12 11 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"MI_008_H1" 190 130 1204 3134 1000 9 96 340 62 193 1 30 419 51 4 771 192 1428 0 811 10 45 266 83 10 33 11 18 186 57 0 16 16 738 106 0 104 0 0 27 28 0 3 0 151 73 1 179 4 18 0 0 0 0 38 9 24 5 26 12 39 212 163 0 28 0 2 4 0 1 0 5 4 217 5 39 0 0 5 0 35 10 3 272 0 2 1 13 5 0 2 0 0 20 0 78 0 11 0 7 0 0 1 0 3 4 39 17 6 3 0 0 8 7 0 4 0 0 0 0 4 0 0 0 0 30 0 0 0 0 0 0 16 0 0 0 9 2 104 0 15 6 11 0 0 0 2 0 0 194 52 0 0 0 1 0 4 0 3 3 3 0 0 3 3 0 5 0 1 0 0 0 10 70 1 0 18 12 0 10 1 0 3 131 12 0 6 0 0 0 0 0 0 1 4 0 0 0 1 3 20 0 0 0 0 0 1 0 0 0 4 2 0 0 0 21 0 0 1 1 0 0 0 2 2 0 0 0 6 3 5 0 4 0 0 0 2 0 0 0 5 0 0 0 35 0 0 0 0 0 0 0 56 22 0 0 0 0 0 0 0 0 0 0 0 0 34 3 0 0 2 22 0 0 0 10 0 0 0 0 51 37 4 0 0 0 0 15 21 0 14 0 0 0 3 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 27 0 1 10 4 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 6 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MI_009_H" 227 66 2011 5 37 385 267 4869 69 1138 159 2 4 48 2 286 145 2548 53 125 5 16 0 176 68 0 0 26 958 34 0 0 0 173 20 0 25 0 0 5 6 0 3 11 3 22 158 10 0 20 0 61 0 0 1 0 8 21 14 0 32 0 9 0 5 0 0 0 0 0 8 0 2 65 1 1 0 0 0 2 1 45 3 14 0 0 0 4 0 0 0 0 0 2 0 15 0 6 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 2 17 0 0 0 5 0 42 0 0 3 4 0 0 0 0 32 0 0 1 0 1 0 2 0 0 0 8 0 2 0 1 0 2 0 0 6 0 0 0 0 0 0 0 0 5 16 0 0 1 0 60 0 1 1 2 21 0 0 0 4 1 0 0 0 0 0 1 0 10 0 0 0 0 3 0 0 0 0 21 1 0 0 0 0 0 0 0 0 0 1 0 5 0 0 0 9 0 0 0 0 0 0 0 0 0 20 7 0 0 0 9 0 0 0 0 1 0 0 5 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 14 0 8 0 0 0 0 0 0 0 0 3 0 0 10 0 0 0 0 0 0 1 0 6 0 5 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 26 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MI_010_H" 190 1124 1748 32 1039 13 185 185 11 459 3 185 359 1179 0 121 468 261 148 1183 43 167 5 74 10 64 53 19 138 171 2 1 20 179 18 254 18 0 74 10 18 34 43 28 11 9 123 43 2 3 0 24 0 0 3 1 16 27 1 740 1 20 0 0 11 0 0 0 99 1 227 552 270 16 3 0 0 0 0 2 2 40 12 6 3 0 0 28 5 0 13 0 0 7 0 9 0 61 0 9 0 145 0 40 0 4 0 63 16 0 18 0 35 0 0 7 0 1 0 0 9 0 0 0 0 1 0 0 0 0 0 1 1 1 0 14 0 6 8 0 4 0 5 7 0 0 0 0 0 2 0 3 1 4 0 0 0 0 2 12 0 1 0 0 0 6 7 0 0 0 2 680 2 0 0 0 0 3 0 15 20 0 0 55 0 0 4 0 0 0 0 0 0 4 0 36 0 0 0 6 0 0 0 0 0 0 4 0 0 4 24 6 0 3 287 0 0 0 0 0 120 0 0 3 0 3 0 0 2 0 2 0 0 0 0 0 1 0 39 0 0 0 0 1 3 103 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 56 3 0 0 0 0 5 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 2 0 0 0 0 0 0 0 0 0 0 17 0 0 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MI_011_H" 0 1 374 1656 152 98 5155 761 2 25 2 18 86 262 0 36 324 0 0 1585 46 98 39 151 99 43 53 9 302 118 1019 0 1 1 11 18 37 0 0 0 10 0 3 4 23 69 0 19 8 51 0 0 6 0 1 12 132 58 132 167 36 19 5 0 39 0 142 7 0 6 0 15 78 0 2 0 0 0 4 0 0 23 0 23 0 1 0 40 0 0 5 0 0 5 0 21 0 1 0 1 0 1 0 0 1 0 10 28 9 3 1 0 15 0 59 37 6 1 0 2 15 0 0 31 3 0 10 0 0 1 21 0 0 0 0 0 0 6 0 3 1 2 0 0 0 0 2 190 0 0 0 0 0 0 12 2 0 0 10 5 0 4 0 17 0 14 2 0 1 0 0 0 0 4 0 25 2 0 0 14 1 0 21 38 0 0 2 2 0 0 0 5 45 0 3 0 0 0 34 4 0 0 0 0 0 0 0 0 0 0 5 23 0 0 0 4 0 0 0 1 0 0 0 20 0 0 11 24 13 0 1 3 2 0 9 5 0 0 24 0 2 8 7 0 5 0 0 2 0 3 0 0 2 0 0 0 0 4 0 0 2 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 20 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 35 0 0 1 0 0 3 0 0 0 0 0 1 0 0 0 0 28 0 2 0 16 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MI_012_H" 55 131 1032 18 837 178 32 5946 28 199 0 1 0 151 0 129 307 0 0 172 45 105 0 25 30 15 0 33 24 14 115 0 2 0 37 2 101 0 0 42 4 0 2 141 1 12 56 74 0 12 0 2 0 0 6 33 29 8 0 0 0 13 92 0 25 0 2 1 0 0 3839 156 6 0 4 0 0 0 6 0 25 67 1 33 0 0 0 0 112 0 10 0 0 4 0 14 0 0 0 0 0 0 0 0 0 5 0 2 0 0 0 0 22 0 0 1 1 2 0 1 15 4 0 2 2 0 2 0 0 5 2 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 2 0 0 4 0 55 0 0 0 0 2 1 0 0 0 7 0 0 0 0 0 26 0 2 3 0 0 0 0 0 20 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 9 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 1 0 0 0 0 0 0 0 0 18 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
